postcode,easting,northing
CF116LH,317651,176261
CF116LJ,317722,176341
CF116LL,317663,176372
CF116LN,317580,176403
CF116LP,317386,176392
CF116LQ,317480,176310
CF116LR,317354,176366
CF116LS,317476,176265
CF116LT,317514,176365
CF116LU,317550,176417
CF116LW,317553,176287
CF116LX,317405,176422
CF116LY,317710,176401
CF116NA,317521,175235
CF116NB,317719,176266
CF116NF,317920,175458
CF116NG,317887,175436
CF116NH,317790,175347
CF116NJ,317615,175179
CF116NL,317525,175098
CF116NN,317408,174996
CF116NP,317486,175108
CF116NQ,317464,175180
CF116NR,317467,175271
CF116NS,317401,175363
CF116NT,317468,175106
CF116NU,317452,175150
CF116NW,317438,175192
CF116NX,317523,175166
CF116NY,316766,176091
CF116PA,317616,175257
CF116PB,317617,175293
CF116PD,317617,175553
CF116PE,317329,175290
CF116PF,317431,175213
CF116PG,317484,175314
CF116PH,317415,175315
CF116PJ,317384,175353
CF116PL,317595,175587
CF116PN,317531,175515
CF116PP,317459,175438
CF116PQ,317455,175376
CF116PR,317501,175369
CF116PS,317528,175406
CF116PT,317617,175351
CF116PU,317574,175387
CF116PW,317539,175431
CF116PX,317627,175415
CF116PY,317585,175491
CF116PZ,317607,175510
CF116QB,317759,175521
CF116QE,317835,175412
CF116QG,317875,175558
CF116QH,317804,175494
CF116QJ,317904,175508
CF116QL,317606,175919
CF116QN,317645,175919
CF116QP,317663,175712
CF116QQ,317679,175583
CF116QR,317698,175444
CF116QS,317706,175319
CF116QT,317728,175755
CF116QU,317722,175589
CF116QW,317732,175463
CF116QX,317778,175386
CF116QY,317779,175743
CF116QZ,317797,175587
CF116RA,317854,175751
CF116RB,317898,175607
CF116RD,317716,175685
CF116RE,317840,175697
CF116RF,317846,175651
CF116RG,317928,175749
CF116RH,317953,175600
CF116RJ,317835,175771
CF116RL,317906,175895
CF116RS,317628,175749
CF116RT,317646,175571
CF116RU,317660,175418
CF116RW,317668,175348
CF116RX,317677,175268
CF116RY,317591,175756
CF116RZ,317533,175687
CF116SA,317465,175614
CF116SB,317576,175779
CF116SD,317501,175693
CF116SE,317417,175605
CF116SF,317539,175815
CF116SG,317477,175836
CF116SH,317289,175479
CF116SJ,317584,175690
CF116SL,317485,175783
CF116SQ,317595,175628
CF116SR,317476,175497
CF116SS,317566,175659
CF116ST,317453,175764
CF116SU,317526,175619
CF116SW,317393,175708
CF116SX,317383,175680
CF116SY,317341,175649
CF116SZ,317321,175596
CF116TA,317393,175500
CF116TB,317324,175532
CF116TD,317469,175577
CF116TG,317378,175463
CF116TH,317344,175478
CF116TJ,317362,175668
CF116TL,317337,175621
CF116WN,317180,174761
CF116WZ,317180,174761
CF116YA,317580,175149
CF116YT,317180,174761
CF116YY,317899,175800
CF117AA,317870,175219
CF117AB,317909,175170
CF117AD,317949,175126
CF117AE,317988,175081
CF117AF,318071,175013
CF117AG,318106,174974
CF117AH,318175,174931
CF117AJ,318293,174871
CF117AL,318381,174838
CF117AN,317789,175193
CF117AP,317878,175118
CF117AQ,317979,175029
CF117AR,318087,174938
CF117AS,318302,174808
CF117AT,317765,175158
CF117AU,317838,175095
CF117AW,317926,175026
CF117AX,318102,174884
CF117AY,318258,174800
CF117AZ,317823,175270
CF117BA,317845,175247
CF117BB,317897,175307
CF117BD,317940,175226
CF117BE,317959,175358
CF117BF,318036,173735
CF117BG,318026,175122
CF117BH,318150,174994
CF117BJ,318285,174925
CF117BL,317938,175292
CF117BN,318053,173866
CF117BP,318440,174769
CF117BQ,318470,174795
CF117BR,318323,174617
CF117BT,318045,175094
CF117BU,317924,174696
CF117BW,318005,174833
CF117BX,317955,174632
CF117BY,317973,174668
CF117BZ,318003,174721
CF117DA,318040,174796
CF117DB,318072,174822
CF117DD,318124,174683
CF117DE,318204,174744
CF117DF,318134,174636
CF117DG,318052,174551
CF117DH,318026,174598
CF117DJ,318074,174684
CF117DL,317928,174588
CF117DN,318012,174537
CF117DQ,317852,174454
CF117DR,317887,174501
CF117DS,318304,174687
CF117DT,318155,174559
CF117DU,318165,174734
CF117DW,317805,174395
CF117DX,317979,174469
CF117DY,318261,174557
CF117DZ,318423,174576
CF117EA,318394,174642
CF117EB,317955,173530
CF117ED,317729,174389
CF117EE,317752,174189
CF117EF,317836,173966
CF117EG,317781,174222
CF117EH,317876,173965
CF117EJ,317874,174479
CF117EL,317842,174102
CF117EN,317819,174249
CF117EP,317898,174024
CF117EQ,317877,174696
